id,time,elapsed time,temperature,humidity,PM2_5,MovingAverage,BatteryStatus
8,10/20/2016 10:00:15,0 ,203,731,587,599,0
9,10/20/2016 10:01:20,43201 ,202,733,588,598,0
10,10/20/2016 10:02:25,43202 ,202,734,625,595,0
11,10/20/2016 10:03:31,43203 ,202,735,591,596,0
12,10/20/2016 10:04:36,43204 ,202,735,582,597,0
13,10/20/2016 10:05:40,43205 ,201,736,605,595,0
14,10/20/2016 10:06:46,43206 ,200,737,610,593,0
15,10/20/2016 10:07:51,43207 ,201,736,596,593,0
16,10/20/2016 10:08:56,43208 ,201,737,599,594,0
17,10/20/2016 10:10:01,43209 ,200,737,612,588,0
18,10/20/2016 10:11:06,43210 ,200,737,591,592,0
19,10/20/2016 10:12:11,43211 ,200,737,592,596,0
20,10/20/2016 10:13:16,43213 ,200,738,573,588,0
21,10/20/2016 10:14:21,43214 ,200,737,607,594,0
22,10/20/2016 10:15:26,43215 ,200,737,608,590,0
23,10/20/2016 10:16:31,43216 ,200,737,584,585,0
24,10/20/2016 10:17:36,43217 ,200,737,586,583,0
25,10/20/2016 10:18:41,43218 ,200,737,561,579,0
26,10/20/2016 10:19:46,43219 ,200,737,594,584,0
27,10/20/2016 10:20:52,43220 ,200,736,588,578,0
28,10/20/2016 10:21:56,43221 ,200,736,581,576,0
29,10/20/2016 10:23:01,43222 ,200,736,575,580,0
30,10/20/2016 10:24:06,43223 ,201,736,563,577,0
31,10/20/2016 10:25:11,43224 ,201,736,588,575,0
32,10/20/2016 10:26:16,43226 ,201,736,584,576,0
33,10/20/2016 10:27:21,43227 ,201,735,563,575,0
34,10/20/2016 10:28:26,43228 ,201,735,592,577,0
35,10/20/2016 10:29:31,43229 ,201,735,568,576,0
36,10/20/2016 10:30:36,43230 ,201,735,575,576,0
37,10/20/2016 10:31:41,43231 ,201,734,583,575,0
38,10/20/2016 10:32:46,43232 ,201,734,572,573,0
39,10/20/2016 10:33:52,43233 ,201,734,581,574,0
40,10/20/2016 10:34:56,43234 ,201,734,554,572,0
41,10/20/2016 10:36:01,43235 ,201,733,579,572,0
42,10/20/2016 10:37:06,43236 ,201,734,592,575,0
43,10/20/2016 10:38:11,43237 ,202,733,567,573,0
44,10/20/2016 10:39:16,43239 ,202,733,568,571,0
45,10/20/2016 10:40:21,43240 ,202,732,560,574,0
46,10/20/2016 10:41:26,43241 ,202,732,560,574,0
47,10/20/2016 10:42:31,43242 ,202,732,589,575,0
48,10/20/2016 10:43:36,43243 ,202,732,553,577,0
49,10/20/2016 10:44:41,43244 ,202,732,576,570,0
50,10/20/2016 10:45:47,43245 ,202,732,555,572,0
51,10/20/2016 10:46:52,43246 ,202,731,591,573,0
52,10/20/2016 10:47:57,43247 ,202,731,555,570,0
53,10/20/2016 10:49:02,43248 ,202,731,577,568,0
54,10/20/2016 10:50:07,43249 ,202,731,587,570,0
55,10/20/2016 10:51:12,43250 ,203,731,560,567,0
56,10/20/2016 10:52:17,43252 ,203,731,569,572,0
