hour,date,temperature,humidity,Sharp measured voltage[mv],measurement of certified station,Sharp PM2.5,error
1,2016-10-18:15,24.4,59.8,79.5,25,29.1,16.4%
2,2016-10-18:16,24.7,58.5,78.3,32,28.6,10.5%
3,2016-10-18:17,23.8,62,78.2,28,28.6,2.2%
4,2016-10-18:18,21.9,68,77.6,25,28.4,13.5%
5,2016-10-18:19,19.8,76.9,74.3,27,27.2,0.6%
6,2016-10-18:20,19,81.8,79.4,27,29.1,7.6%
7,2016-10-18:21,18.2,85.6,83.2,24,30.5,26.9%
8,2016-10-18:22,17.9,87.3,77.9,30,28.5,5.0%
9,2016-10-18:23,17.8,88.9,82.4,32,30.2,5.8%
10,2016-10-18:24,17.4,90.8,81.9,36,30,16.7%
11,2016-10-19:01,17.2,92.2,82.2,29,30.1,3.7%
12,2016-10-19:02,17.1,92.4,84.5,41,30.9,24.5%
13,2016-10-19:03,16.9,92.8,85.4,40,31.3,21.8%
14,2016-10-19:04,17.1,92.3,88.5,39,32.4,16.9%
15,2016-10-19:05,17.1,93.2,86.4,34,31.6,6.9%
16,2016-10-19:06,16.9,93.6,83.5,37,30.6,17.4%
17,2016-10-19:07,16.5,96,86,38,31.5,17.1%
18,2016-10-19:08,17.5,93.3,88.8,31,32.5,4.9%
19,2016-10-19:09,18.6,88.2,89.2,33,32.7,1.0%
20,2016-10-19:10,19.5,88.1,97.4,30,35.7,19.0%
21,2016-10-19:11,20.8,82.5,101.8,22,37.3,69.7%
22,2016-10-19:12,22,77.8,98.3,37,36,2.6%
23,2016-10-19:13,23.2,69.6,88.3,27,32.3,19.8%
24,2016-10-19:14,23.2,60.9,100.4,34,36.8,8.3%
25,2016-10-19:15,23.7,53.1,95.7,35,35.1,0.2%
26,2016-10-19:16,23.4,60.7,110.7,28,40.6,45.1%
27,2016-10-19:17,22.7,61.4,122.6,46,45,2.1%
28,2016-10-19:18,21.4,72.2,113.4,50,41.6,16.8%
29,2016-10-19:19,20.6,78.3,103.4,44,37.9,13.8%
30,2016-10-19:20,19.2,85.4,88.3,35,32.3,7.6%
31,2016-10-19:21,19.5,84.3,92,39,33.7,13.6%
32,2016-10-19:22,18.8,86.7,77.5,35,28.3,19.0%
