,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-25:11,오존,보통,71,48,35,보통,16,15,좋음,0.055,보통,0.014,좋음,0.4,좋음,0.005,좋음,N
2017-05-25:10,오존,보통,68,43,31,보통,21,15,좋음,0.052,보통,0.017,좋음,0.4,좋음,0.004,좋음,N
2017-05-25:09,오존,보통,63,29,30,좋음,12,14,좋음,0.045,보통,0.020,좋음,0.4,좋음,0.005,좋음,N
2017-05-25:08,오존,보통,55,31,30,좋음,16,15,좋음,0.036,보통,0.021,좋음,0.4,좋음,0.004,좋음,N
2017-05-25:07,이산화질소,보통,58,30,30,좋음,17,15,좋음,0.012,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-25:06,이산화질소,보통,51,36,29,좋음,18,14,좋음,0.009,좋음,0.031,보통,0.4,좋음,0.003,좋음,N
2017-05-25:05,이산화질소,보통,66,32,28,좋음,15,13,좋음,0.003,좋음,0.040,보통,0.4,좋음,0.003,좋음,N
2017-05-25:04,이산화질소,보통,61,22,27,좋음,16,12,좋음,0.005,좋음,0.037,보통,0.4,좋음,0.003,좋음,N
2017-05-25:03,이산화질소,보통,65,27,28,좋음,11,12,좋음,0.005,좋음,0.039,보통,0.4,좋음,0.003,좋음,N
2017-05-25:02,이산화질소,보통,59,24,27,좋음,12,11,좋음,0.008,좋음,0.036,보통,0.4,좋음,0.003,좋음,N
2017-05-25:01,이산화질소,좋음,50,31,27,좋음,8,11,좋음,0.015,좋음,0.030,좋음,0.4,좋음,0.003,좋음,N
2017-05-24:24,이산화질소,보통,54,26,27,좋음,11,12,좋음,0.016,좋음,0.033,보통,0.4,좋음,0.003,좋음,N
